id,Age,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
20000,>35,No,Master,1,Man,No,Dev,41,30,United States of America,125000.0,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Git;AWS;Microsoft SQL Server,11,1
20001,<35,No,Master,1,Man,No,Dev,16,9,Netherlands,129718.0,Java;Git;Puppet;MySQL,4,0
20002,<35,No,Undergraduate,1,Man,No,Dev,7,3,Pakistan,7788.0,C#;C++;JavaScript;SQL;TypeScript;Git;Unity 3D;Angular;Angular.js;ASP.NET;ASP.NET Core ;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;MySQL,15,1
20003,<35,No,Undergraduate,0,Man,No,NotDev,9,1,Russian Federation,50952.0,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;R;Rust;TypeScript;Git;ASP.NET Core ;DigitalOcean;PostgreSQL;SQLite,14,1
20004,<35,No,Undergraduate,1,Man,No,Dev,6,6,Bulgaria,36468.0,C;C++,2,0
20005,<35,No,Undergraduate,1,Man,No,Dev,10,2,United States of America,80000.0,C#;Node.js;TypeScript,3,1
20006,<35,No,Master,1,Man,Yes,Dev,12,9,India,40489.0,C++;JavaScript;Matlab,3,0
20007,<35,No,Undergraduate,1,Man,Yes,Dev,10,4,Georgia,51888.0,Crystal;Elixir;Ansible;Docker;Git;AWS;PostgreSQL,7,0
20008,<35,No,Master,1,Man,Yes,Dev,10,1,Denmark,67728.0,Bash/Shell;C;C++;Python;Docker;Git,6,0
20009,<35,Yes,Undergraduate,1,Man,Yes,Dev,5,1,"Venezuela, Bolivarian Republic of...",12000.0,HTML/CSS;JavaScript;Node.js;TypeScript;Git;Yarn;Express;Gatsby;React.js;MongoDB;MySQL;PostgreSQL,12,1
20010,<35,No,Master,0,Man,No,Dev,16,12,Austria,91883.0,Java;Kotlin;Git;MySQL;PostgreSQL;SQLite,6,0
20011,<35,No,Undergraduate,1,Man,Yes,Dev,6,1,Nigeria,12347.0,JavaScript;Python;Docker;Git;Kubernetes;Django;Express;Flask;Vue.js;AWS;Google Cloud Platform;Heroku;DynamoDB;Firebase;MongoDB;PostgreSQL;SQLite,17,0
20012,<35,No,Undergraduate,1,Man,No,Dev,9,4,United States of America,70000.0,C++;JavaScript;TypeScript;Git;Express;React.js,6,0
20013,<35,No,Undergraduate,1,Man,No,Dev,8,6,Germany,77831.0,Elixir;Erlang;Haskell;HTML/CSS;JavaScript;Node.js;R;TypeScript;Docker;Git;Terraform;Express;React.js;AWS;Google Cloud Platform;DynamoDB;PostgreSQL;Redis,18,0
20014,>35,No,Master,1,Man,No,Dev,24,18,Russian Federation,9432.0,C;C#;C++;HTML/CSS;Java;Kotlin;Objective-C;PHP;SQL;Swift;Docker;Git;Symfony;Microsoft SQL Server;MySQL;PostgreSQL;Redis,17,1
20015,<35,No,NoHigherEd,1,Man,No,Dev,8,4,Germany,18156.0,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;Docker;Git;Yarn;jQuery;Laravel;Symfony;DigitalOcean;MariaDB;MySQL,16,1
20016,<35,No,Undergraduate,1,Man,No,Dev,13,9,Canada,71093.0,C#;Docker;Git;Xamarin;Microsoft Azure,5,0
20017,>35,No,Undergraduate,1,Man,No,Dev,40,36,United States of America,200000.0,Assembly;C;C#;C++;COBOL;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Scala;SQL;Swift;TypeScript;Docker;Git;Terraform;Yarn;Angular;ASP.NET;ASP.NET Core ;Express;jQuery;AWS;Microsoft Azure;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,34,1
20018,<35,No,Other,0,Man,No,Dev,6,4,Kenya,23724.0,HTML/CSS;JavaScript;Ruby;SQL;Ansible;Docker;Git;Kubernetes;Terraform;Angular;Gatsby;Ruby on Rails;Vue.js;AWS;Google Cloud Platform;PostgreSQL;Redis,17,0
20019,<35,No,Undergraduate,1,Man,No,Dev,7,3,India,8281.0,Objective-C;Swift;Git;AWS;SQLite,5,0
20020,<35,No,Undergraduate,1,Man,No,Dev,7,0,India,5868.0,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript;Git;Angular;ASP.NET;Express;jQuery;Laravel;Spring;AWS;MySQL;Oracle;SQLite,24,1
20021,>35,No,Other,1,Man,No,Dev,15,10,United States of America,90000.0,HTML/CSS;JavaScript;Ruby;SQL;Ansible;Docker;Git;Kubernetes;Yarn;jQuery;Ruby on Rails;Vue.js;AWS;Elasticsearch;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis;SQLite,20,1
20022,<35,No,Undergraduate,1,Man,No,Dev,10,4,India,27225.0,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;Perl;PHP;Python;Ruby;SQL;Docker;Git;Kubernetes;Angular.js;Express;Flask;jQuery;React.js;Ruby on Rails;Spring;AWS;Cassandra;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,30,1
20023,<35,No,Master,1,Man,Yes,Dev,16,3,United Kingdom of Great Britain and Northern Ireland,77556.0,Bash/Shell;HTML/CSS;JavaScript;Python;R;SQL;Docker;Git;Flask;AWS;DigitalOcean;MySQL;PostgreSQL;SQLite,14,0
20024,<35,No,Undergraduate,1,Man,No,Dev,8,9,India,4691.0,HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;SQL;Git;Yarn;Flask;jQuery;React.js;Google Cloud Platform;Heroku;Firebase;MySQL;PostgreSQL,18,1
20025,<35,No,Undergraduate,1,Man,No,Dev,15,4,Russian Federation,19632.0,Java;Python;Docker;Git;Spring;PostgreSQL,6,0
