id,Age,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
10000,>35,No,Undergraduate,1,Man,No,Dev,25,14,United States of America,200000.0,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript;Docker;Git;Kubernetes;Angular;ASP.NET;ASP.NET Core ;jQuery;Google Cloud Platform;Microsoft SQL Server;SQLite,16,1
10001,<35,Yes,Undergraduate,1,Woman,Yes,Dev,9,4,United States of America,120000.0,HTML/CSS;JavaScript;Node.js;PHP;Ruby;TypeScript;Ansible;Docker;Yarn;Express;Gatsby;React.js;Ruby on Rails;AWS;Heroku;PostgreSQL;Redis,17,0
10002,<35,No,Undergraduate,0,Man,No,Dev,5,0,Uzbekistan,17500.0,C#;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;VBA;Docker;Git;Unity 3D;Yarn;ASP.NET;ASP.NET Core ;Express;jQuery;React.js;AWS;Google Cloud Platform;Heroku;Microsoft Azure;Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite,26,1
10003,<35,No,Undergraduate,1,Man,No,Dev,5,3,Guatemala,21600.0,HTML/CSS;JavaScript;Python;SQL;Docker;Git;Django;FastAPI;React.js;AWS;DigitalOcean;MySQL;PostgreSQL;Redis;SQLite,15,0
10004,<35,No,Undergraduate,1,Man,No,Dev,6,5,Sweden,42960.0,HTML/CSS;JavaScript;Git;Gatsby;jQuery;Vue.js;AWS;Microsoft Azure;MySQL,9,0
10005,<35,No,Undergraduate,1,Man,No,Dev,5,1,Sri Lanka,8244.0,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PHP;TypeScript;Git;Laravel;Vue.js;AWS;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,17,1
10006,<35,No,Undergraduate,1,Man,No,Dev,6,2,India,2544.0,Bash/Shell;C;C++;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;Docker;Git;Unity 3D;Django;Express;Flask;React.js;Heroku;MySQL;Oracle;PostgreSQL;SQLite,22,1
10007,<35,Yes,Master,1,Man,No,Dev,9,8,Netherlands,33732.0,C++;Java;Python;Git,4,0
10008,>35,No,PhD,1,Man,No,Dev,30,15,United States of America,150000.0,C;C++;Kotlin;PHP;Python;SQL;Docker;Git;Kubernetes;jQuery;AWS;Microsoft Azure;Microsoft SQL Server;MySQL;Oracle,15,0
10009,>35,No,Master,1,Man,No,NotDev,13,12,United States of America,120000.0,R;Git;SQLite,3,0
10010,<35,Yes,Other,1,Man,No,Dev,1,0,"Venezuela, Bolivarian Republic of...",6000.0,HTML/CSS;JavaScript;Node.js;PHP;TypeScript;Git;Angular;Express;MongoDB;MySQL,10,1
10011,<35,No,Undergraduate,1,Man,No,Dev,7,4,India,20943.0,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;Git;FastAPI;React.js;Spring;AWS;Google Cloud Platform;Heroku;Elasticsearch;MongoDB;PostgreSQL;Redis,17,1
10012,<35,No,Other,1,Man,No,Dev,9,9,Portugal,55130.0,Bash/Shell;HTML/CSS;JavaScript;Git;AWS;Microsoft Azure,6,0
10013,>35,No,Other,1,Man,No,Dev,15,25,Colombia,10596.0,Delphi;Git;ASP.NET;AWS;PostgreSQL,5,0
10014,<35,No,Master,1,Man,No,Dev,10,3,Germany,80241.0,C;Python;Git,3,0
10015,<35,No,Undergraduate,1,Man,No,Dev,15,5,United States of America,165000.0,C++;Java;Kotlin;Objective-C;Swift;Git;Google Cloud Platform,7,0
10016,>35,No,Master,1,Man,No,Dev,25,20,Germany,77831.0,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript;Docker;Git;Terraform;Angular;ASP.NET;ASP.NET Core ;React.js;AWS;Microsoft Azure;Elasticsearch;Microsoft SQL Server,17,1
10017,>35,No,Master,0,NonBinary,No,Dev,17,7,Mexico,25860.0,Assembly;C++;Go;HTML/CSS;Java;JavaScript;LISP;Matlab;Node.js;Python;Ruby;SQL;Git;Express;jQuery;Ruby on Rails;Spring;Vue.js;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,24,1
10018,>35,No,Master,1,Man,No,Dev,17,11,Cyprus,32429.0,C#;Dart;HTML/CSS;Java;SQL;Swift;Git;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server;MySQL,12,1
10019,<35,No,Other,1,Man,Yes,Dev,10,1,Brazil,6876.0,HTML/CSS;Java;JavaScript;Node.js;Rust;Docker;Git;Vue.js,8,0
10020,>35,Yes,Undergraduate,1,Man,Yes,Dev,38,30,United States of America,110000.0,C++;Git;Oracle,3,0
10021,>35,No,Other,1,Man,No,Dev,30,28,Denmark,112884.0,Bash/Shell;Delphi;HTML/CSS;JavaScript;PowerShell;Git;Microsoft Azure;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;SQLite,12,1
10022,>35,No,Master,1,Man,No,NotDev,50,30,United Kingdom of Great Britain and Northern Ireland,69800.0,HTML/CSS;Java;JavaScript;Perl;PHP;Docker;Git;AWS;Microsoft Azure;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,16,1
10023,<35,No,Other,1,Man,Yes,Dev,10,3,United States of America,42000.0,Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Rust;SQL;TypeScript;Docker;Git;Yarn;React.js;AWS;DynamoDB;MongoDB;PostgreSQL;SQLite,21,1
